City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,ishim,56.1128,69.4902,26.0,40.0,0.0,5.64,RU,1690364603.0
282,valley center,33.2184,-117.0342,23.82,79.0,0.0,0.22,US,1690364603.0
283,port alfred,-33.5906,26.891,24.1,34.0,71.0,2.66,ZA,1690364604.0
284,paita,-5.0892,-81.1144,20.67,82.0,91.0,3.77,PE,1690364604.0
285,tabou,4.423,-7.3528,25.89,84.0,93.0,3.35,CI,1690364605.0
286,kongsvinger,60.1905,11.9977,16.92,64.0,87.0,2.95,NO,1690364606.0
287,fort-shevchenko,44.5086,50.263,27.48,55.0,0.0,6.05,KZ,1690364606.0
288,aripuana,-9.1667,-60.6333,19.32,67.0,14.0,0.23,BR,1690364607.0
290,miura,35.14,139.6192,31.99,81.0,6.0,5.36,JP,1690364608.0
291,springfield,37.2153,-93.2982,27.21,79.0,0.0,5.14,US,1690364482.0
292,kangding,30.0513,101.9603,17.63,94.0,98.0,2.59,CN,1690364609.0
293,pyhajarvi,67.0701,27.2176,18.56,57.0,93.0,1.8,FI,1690364610.0
294,manturovo,58.3353,44.7619,23.44,65.0,86.0,3.62,RU,1690364610.0
295,fortuna,40.5982,-124.1573,14.39,93.0,100.0,0.0,US,1690364611.0
296,rongelap,11.1635,166.8941,28.56,80.0,100.0,7.88,MH,1690364611.0
297,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,73.0,0.0,1.0,RU,1690364612.0
298,tazacorte,28.629,-17.9293,23.54,84.0,75.0,5.66,ES,1690364612.0
300,piti village,13.4626,144.6933,29.49,83.0,40.0,7.2,GU,1690364618.0
301,acapulco de juarez,16.8634,-99.8901,25.9,89.0,100.0,1.54,MX,1690364619.0
302,shush,32.1942,48.2436,46.89,5.0,0.0,3.78,IR,1690364619.0
303,julio de castilhos,-29.2269,-53.6817,15.26,91.0,100.0,3.49,BR,1690364620.0
304,maymana,35.9214,64.7836,38.62,9.0,0.0,3.46,AF,1690364620.0
305,nema,57.5067,50.5011,24.26,45.0,53.0,2.37,RU,1690364621.0
306,estevan,49.1334,-102.9842,15.11,72.0,0.0,4.12,CA,1690364621.0
307,tsarevo,42.1667,27.85,38.17,27.0,1.0,5.94,BG,1690364622.0
308,cabedelo,-6.9811,-34.8339,22.37,80.0,5.0,5.14,BR,1690364622.0
309,alesund,62.4723,6.1549,17.51,88.0,40.0,1.03,NO,1690364623.0
310,oriximina,-1.7656,-55.8661,22.69,68.0,4.0,0.81,BR,1690364331.0
